Ranking,playerName,bestPosition,value,overallRating,age,club,nationality
1,K. Mbappé,DC,185500000,90,21,Paris Saint-Germain,France
2,Neymar Jr,EI,132000000,91,28,Paris Saint-Germain,Brazil
3,K. De Bruyne,MCO,129000000,91,29,Manchester City,Belgium
4,J. Sancho,MCO,124000000,87,20,Borussia Dortmund,England
5,K. Havertz,MCO,121000000,85,21,Chelsea,Germany
6,M. Salah,ED,120500000,90,28,Liverpool,Egypt
6,S. Mané,EI,120500000,90,28,Liverpool,Senegal
8,J. Oblak,POR,120000000,91,27,Atlético Madrid,Slovenia
9,R. Sterling,EI,114500000,88,25,Manchester City,England
10,T. Alexander-Arnold,LTD,114000000,87,21,Liverpool,England
